664       1995    8941   37.3    51.2    10.7    10.5     1.0     1.0     0.8    3.50
664       2000   10485   32.8    51.6    10.8    14.3     1.3     1.2     1.0    3.99
666       1960    351    40.4    57.9    15.8     1.6     0.4     0.1     0.1    3.14
666       1965    389    41.1    57.2    14.9     1.6     0.4     0.1     0.1    3.09
666       1970    428    40.7    57.3    13.2     1.8     0.5     0.1     0.1    3.05
666       1975    475    34.3    61.1     9.1     4.6     1.3     0.1     0.1    3.36
666       1980    530    32.6    62.4    11.4     4.9     1.3     0.2     0.2    3.54
666       1985    613    32.2    61.5    12.1     5.9     1.6     0.5     0.5    3.70
666       1990    696    26.5    65.4    13.2     7.5     2.1     0.6     0.6    4.12
666       1995    795    25.1    64.4    13.0     9.7     2.7     0.7     0.7    4.25
666       2000    917    22.6    64.3    12.9    12.1     3.3     1.0     1.0    4.47
668       1960    413    92.3     5.0     2.9     1.7     0.6     1.0     0.7    0.56
668       1965    473    89.3     8.1     2.6     1.6     0.6     0.9     0.7    0.63
668       1970    540    85.9    11.7     3.8     1.6     0.7     0.8     0.6    0.76
668       1975    618    87.1     3.8     1.2     7.5     3.9     1.5     1.1    1.17
668       1980    701    82.9     8.1     2.0     7.5     2.9     1.6     1.1    1.31
668       1985    806    76.7    13.1     2.9     8.6     2.6     1.7     1.2    1.59
668       1990    929    70.4    17.2     3.6    10.6     2.5     1.9     1.4    1.94
668       1995    1078   62.8    24.1     5.1    10.9     2.6     2.2     1.6    2.27
668       2000    1256   63.1    24.1     5.1    10.2     2.4     2.6     1.9    2.26
676       1960    1237   67.1    32.5     8.8     0.4     0.1     0.0     0.0    1.70
676       1965    1382   67.5    32.1     8.2     0.4     0.1     0.0     0.0    1.66
676       1970    1557   68.0    31.5     6.8     0.5     0.2     0.0     0.0    1.60
676       1975    1800   55.4    42.0     4.7     2.5     1.0     0.2     0.2    2.22
676       1980    2099   56.9    40.4    11.0     2.4     1.0     0.3     0.3    2.41
676       1985    2468   55.0    39.8     8.0     4.8     2.1     0.4     0.4    2.60
676       1990    3208   54.6    40.5     8.2     4.5     1.5     0.4     0.4    2.58
676       1995    3821   53.5    41.8     8.5     4.2     1.4     0.5     0.5    2.60
676       2000    4154   53.6    41.9     8.5     4.0     1.3     0.6     0.6    2.58
678       1960    1599   96.9     2.6     0.7     0.2     0.1     0.3     0.2    0.17
678       1965    1785   96.6     2.9     0.8     0.2     0.1     0.3     0.2    0.17
678       1970    1949   96.1     3.4     0.9     0.3     0.1     0.2     0.2    0.19
678       1975    2152   95.4     3.8     0.8     0.6     0.2     0.2     0.2    0.23
678       1980    2328   92.7     5.9     1.2     1.1     0.3     0.3     0.2    0.37
678       1985    2676   90.8     7.0     1.4     2.0     0.5     0.3     0.2    0.49
678       1990    3109   88.8     8.3     1.7     2.5     0.7     0.4     0.3    0.61
678       1995    3630   87.4     9.3     1.9     2.8     0.8     0.5     0.4    0.69
678       2000    4239   86.4    10.0     2.0     3.1     0.8     0.6     0.5    0.76
682       1990    732    60.8    34.1     7.9     3.8     1.1     1.3     1.0    1.94
684       1960    228    47.6    44.4    10.3     6.7     2.0     1.3     0.5    2.44
684       1965    260    41.2    49.7    16.9     7.9     2.6     1.1     0.5    2.89
684       1970    300    36.0    50.9    18.3    11.9     4.2     1.2     0.5    3.36
684       1975    354    30.3    54.4    16.4    13.9     5.7     1.5     0.6    3.65
684       1980    354    23.9    52.0    14.8    20.6    10.0     3.6     1.5    4.50
684       1985    475    21.1    52.3    12.8    23.6    14.1     3.1     1.3    4.73
684       1990    544    18.3    48.7     6.1    31.1    23.9     1.9     0.8    5.15
684       1995    602    16.4    48.9     6.1    32.5    25.0     2.2     0.9    5.34
684       2000    653    14.2    49.5     6.2    33.6    25.8     2.7     1.2    5.55
688       1960    2963   90.9     8.1     1.9     0.6     0.2     0.1     0.0    0.26
688       1965    3287   89.4     9.9     2.3     0.6     0.2     0.0     0.0    0.31
688       1970    3651   86.6    12.6     2.9     0.8     0.2     0.1     0.0    0.39
688       1975    4010   82.7    16.2     3.8     1.0     0.3     0.1     0.1    0.50
688       1980    4577   81.0    18.1     4.2     0.8     0.2     0.1     0.1    0.53
688       1985    5071   78.2    20.6     4.8     1.1     0.3     0.1     0.1    0.61
688       1990    5265   70.3    27.9     6.5     1.6     0.5     0.1     0.1    0.84
688       1995    5874   65.6    31.9     7.4     2.4     0.7     0.1     0.1    1.01
688       2000    6890   59.8    37.1     8.6     3.0     0.8     0.2     0.1    1.19
728       1960    322      .       .       .       .       .      2.1     1.6      .
728       1990    515      .       .       .     43.8    12.1     4.0     3.1      .
692       1960    1095   95.0     4.7     1.1     0.3     0.1     0.0     0.0    0.20
692       1965    1308   95.7     4.1     0.9     0.2     0.1     0.0     0.0    0.17
692       1970    1463   96.3     3.5     0.8     0.3     0.1     0.0     0.0    0.16
692       1975    1650   91.0     8.4     2.0     0.4     0.1     0.2     0.2    0.39
692       1980    1914   91.1     8.2     1.9     0.5     0.1     0.2     0.1    0.39
692       1985    2240   90.6     8.5     2.0     0.7     0.2     0.2     0.2    0.42
692       1990    2587   88.9     9.4     2.2     1.4     0.4     0.3     0.2    0.55
692       1995    3006   86.3    11.3     2.6     2.0     0.5     0.4     0.3    0.69
692       2000    3514   84.2    12.9     3.0     2.4     0.7     0.5     0.4    0.82
696       1955    114    57.5      .       .       .       .       .       .       .
696       1965    145    46.5    45.4    12.4     7.6     2.6     0.5     0.4    2.28
714       1960    972      .       .       .      2.6     0.7     0.5     0.4      .
714       1965    1116     .       .       .      2.3     0.6     0.4     0.3      .
714       1970    1289   86.9    10.6     2.8     2.2     0.6     0.3     0.3    0.76
714       1975    1486   81.6    16.1     4.0     2.1     0.6     0.3     0.3    0.98
714       1980    1692   77.0    20.8     4.0     2.0     0.6     0.3     0.3    1.13
714       1985    1959   71.9    25.9     5.2     1.9     0.5     0.3     0.3    1.35
714       1990    2296   68.4    29.5     6.0     1.8     0.5     0.3     0.3    1.49
714       1995    2662   62.0    35.9     7.3     1.7     0.5     0.4     0.3    1.76
714       2000    3091   57.8    38.9     7.9     2.8     0.8     0.5     0.4    2.03
722       1960    1219   63.1    34.1     7.9     2.2     0.6     0.6     0.5    1.60
722       1965    1361   68.8    28.6     6.6     2.0     0.5     0.6     0.5    1.37
722       1970    1533   72.6    24.8     5.8     1.9     0.5     0.7     0.5    1.24
722       1975    1739   56.0    40.8     9.5     2.5     0.7     0.8     0.6    1.91
722       1980    1979   58.3    37.3     8.7     3.4     0.9     1.0     0.8    1.92
722       1985    2270   60.1    34.6     8.0     3.9     1.1     1.4     1.1    1.93
722       1990    2607   61.1    32.7     7.6     4.5     1.3     1.6     1.3    1.97
722       1995    2977   61.2    31.7     7.4     5.2     1.4     1.9     1.5    2.05
722       2000    3457   59.7    31.8     7.4     6.4     1.8     2.2     1.7    2.23
718       1960     .     41.7    52.1    29.5     5.5     1.9     0.7     0.5    3.11
718       1970     .     28.3    56.0    21.5    13.2     5.9     2.6     2.0    4.09
718       1985     .     12.1    44.9     9.6    35.7     7.7     4.6     3.6    5.79
724       1960    924    94.4     3.3     2.9     2.0     0.9     0.3     0.2    0.53
724       1965    990    93.7     4.1     1.9     1.9     0.7     0.3     0.2    0.50
724       1970    1062   92.7     5.2     1.6     1.8     0.5     0.3     0.2    0.52
724       1975    1148   90.4     7.0     1.7     2.2     0.5     0.3     0.3    0.64
724       1980    1253   87.6     9.0     2.0     3.0     0.5     0.4     0.3    0.83
724       1985    1360   84.4    11.0     2.3     4.1     0.6     0.5     0.4    1.05
